issue_type,path,details
name/content mismatch,SYMBOLIC_TREE_MAP.md,
name/content mismatch,FOLDER_CATALOG_FINAL.md,
name/content mismatch,THR_SYSTEM_CORE.md,
name/content mismatch,walk_compare.py,
name/content mismatch,THREAD_PROJECT_CROSSWALK.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/AAW_CORE_10 ΓÇö GENEALOGY ENGINE.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/AAW_CORE_11 ΓÇö FAILURE STUDY CHAMBER.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_09_ECHO_SHELL.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_05_RITUAL_COURT.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_06_CODE_FORGE.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_4NTHOLOGY_INIT.v1.0.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_03_MYTHIC_SENATE.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_19_PROCESS_PRODUCT_CONV.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_02_MIRROR_CABINET.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_22_PUBLISHING_TEMPLE.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_15_AUDIENCE_ENGINE.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_18_ANALOG_DIGITAL_ENGIN.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_14_PROCESS_MONETIZER.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_RECURSIVE_SYSTEM_RENDER_LINKMAP.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_10_DREAM_COUNCIL.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_12_CHAMBER_OF_COMMERCE.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/AAW_CORE_08 ΓÇö CANONIZATION ENGINE.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_00_ACADEMIA_WING_PROTOCOL.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/AAW_CORE_12 ΓÇö MYTHICAL CITATION SYSTEM.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_20_CONSUMPTION_PROTOCOL.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_01_HEART_OF_CANON.md,
name/content mismatch,ChatGPT-Merge Project Folders.md,
name/content mismatch,FINAL_FOLDER_COLLAPSE_SNAPSHOT.csv,
name/content mismatch,FOLDER_COLLAPSE_PLANNER.csv,
name/content mismatch,CHANGELOG.md,
name/content mismatch,NAME_STRUCTURE_OVERVIEW.md,
name/content mismatch,THREAD_PROJECT_CROSSWALK_TAGGED.md,
name/content mismatch,GPT_PROJECTS_ARCHIVE.md,
name/content mismatch,Ponyo_&_The-Little-Mermaid_Comparative-Reflection-Worksheet.md,
name/content mismatch,README.md,
name/content mismatch,vault_state.md,
name/content mismatch,folder_map.md,
name/content mismatch,README_NOTES.zip!rege_os.md,
name/content mismatch,README_NOTES.zip!abloom.md,
name/content mismatch,README_NOTES.zip!met4morf_os.md,
name/content mismatch,README_NOTES.zip!etceter4.md,
name/content mismatch,README_NOTES.zip!qvv33r.md,
name/content mismatch,README_NOTES.zip!gr1nd3r.md,
name/content mismatch,README_NOTES.zip!canon_timeline.md,
name/content mismatch,README_NOTES.zip!char_engine.md,
name/content mismatch,README_NOTES.zip!theory_crit.md,
name/content mismatch,README_NOTES.zip!intr4_z0ne.md,
name/content mismatch,README_NOTES.zip!pr0j_br4nds.md,
name/content mismatch,README_NOTES.zip!mirror.md,
name/content mismatch,README_NOTES.zip!4rkl1v.md,
name/content mismatch,README_NOTES.zip!tr4nsmvt3.md,
name/content mismatch,README_NOTES.zip!hydr4.md,
name/content mismatch,__VAULT_GUIDE__.md,
name/content mismatch,THREAD_PROJECT_CROSSWALK_FINAL.csv,
name/content mismatch,ChatGPT-Disable Canvas Tool.md,
name/content mismatch,C0D3_INJ3CT_D4V1D_CORE.v2.5_4RCH1V4L_M0D3.md,
name/content mismatch,FOLDER_CATALOG_FINAL.csv,
name/content mismatch,.trash/ARCHIVAL_ST4CK_PROJECTS.md,
name/content mismatch,.trash/Untitled 4.md,
name/content mismatch,.trash/Merge Project Folders.md,
name/content mismatch,.trash/Untitled 2.md,
name/content mismatch,.trash/R3..G3..[0 _  S    ]  [/RE-GE_ORG_BODY_09_ECHO_SHELL.md,
name/content mismatch,.trash/R3..G3..[0 _  S    ]  [/RE-GE_ORG_BODY_20_CONSUMPTION_PROTOCOL.md,
name/content mismatch,.trash/R3..G3..[0 _  S    ]  [/RE-GE_ORG_BODY_19_PROCESS_PRODUCT_CONV.md,
name/content mismatch,.trash/R3..G3..[0 _  S    ]  [/RE-GE_ORG_BODY_15_AUDIENCE_ENGINE.md,
name/content mismatch,.trash/R3..G3..[0 _  S    ]  [/RE-GE_ORG_BODY_03_MYTHIC_SENATE.md,
name/content mismatch,.trash/R3..G3..[0 _  S    ]  [/RE-GE_ORG_BODY_10_DREAM_COUNCIL.md,
name/content mismatch,.trash/R3..G3..[0 _  S    ]  [/AAW_CORE_08 — CANONIZATION ENGINE.md,
name/content mismatch,.trash/R3..G3..[0 _  S    ]  [/RE-GE_ORG_BODY_18_ANALOG_DIGITAL_ENGIN.md,
name/content mismatch,.trash/R3..G3..[0 _  S    ]  [/RE-GE_ORG_BODY_14_PROCESS_MONETIZER.md,
name/content mismatch,.trash/R3..G3..[0 _  S    ]  [/AAW_CORE_10 — GENEALOGY ENGINE.md,
name/content mismatch,.trash/R3..G3..[0 _  S    ]  [/RE-GE_4NTHOLOGY_INIT.v1.0.md,
name/content mismatch,.trash/R3..G3..[0 _  S    ]  [/RE-GE_ORG_BODY_06_CODE_FORGE.md,
name/content mismatch,.trash/R3..G3..[0 _  S    ]  [/RE-GE_ORG_BODY_00_ACADEMIA_WING_PROTOCOL.md,
name/content mismatch,.trash/R3..G3..[0 _  S    ]  [/RE-GE_ORG_BODY_22_PUBLISHING_TEMPLE.md,
name/content mismatch,.trash/R3..G3..[0 _  S    ]  [/AAW_CORE_12 — MYTHICAL CITATION SYSTEM.md,
name/content mismatch,.trash/R3..G3..[0 _  S    ]  [/RE-GE_ORG_BODY_02_MIRROR_CABINET.md,
name/content mismatch,.trash/R3..G3..[0 _  S    ]  [/RE-GE_RECURSIVE_SYSTEM_RENDER_LINKMAP.md,
name/content mismatch,.trash/R3..G3..[0 _  S    ]  [/RE-GE_ORG_BODY_05_RITUAL_COURT.md,
name/content mismatch,.trash/R3..G3..[0 _  S    ]  [/RE-GE_ORG_BODY_01_HEART_OF_CANON.md,
name/content mismatch,.trash/R3..G3..[0 _  S    ]  [/RE-GE_ORG_BODY_12_CHAMBER_OF_COMMERCE.md,
name/content mismatch,.trash/R3..G3..[0 _  S    ]  [/AAW_CORE_11 — FAILURE STUDY CHAMBER.md,
name/content mismatch,.trash/R3..G3..[0 _  S    ]  [/.space/context.mdb,
name/content mismatch,.makemd/superstate.mdc,
name/content mismatch,.git/index,
name/content mismatch,.git/COMMIT_EDITMSG,
name/content mismatch,.git/objects/pack/pack-43e08593df3bbeb458de3c2e0584249ce5d85a8c.pack,
name/content mismatch,.git/logs/HEAD,
name/content mismatch,.git/logs/refs/heads/work,
name/content mismatch,.obsidian/plugins/templater-obsidian/main.js,
name/content mismatch,.obsidian/plugins/recent-files-obsidian/data.json,
name/content mismatch,.obsidian/plugins/obsidian-excalidraw-plugin/main.js,
name/content mismatch,.obsidian/plugins/obsidian-linter/main.js,
name/content mismatch,.obsidian/plugins/obsidian-textgenerator-plugin/main.js,
name/content mismatch,.obsidian/plugins/obsidian-textgenerator-plugin/data.json,
name/content mismatch,.obsidian/plugins/obsidian-git/main.js,
name/content mismatch,.obsidian/plugins/file-explorer-note-count/main.js,
name/content mismatch,.obsidian/plugins/obsidian-mind-map/main.js,
name/content mismatch,.obsidian/plugins/obsidian-projects/main.js,
name/content mismatch,.obsidian/plugins/text-extractor/main.js,
name/content mismatch,.obsidian/plugins/obsidian-icon-folder/main.js,
name/content mismatch,.obsidian/plugins/obsidian42-brat/main.js,
name/content mismatch,.obsidian/plugins/smart-connections/main.js,
name/content mismatch,.obsidian/plugins/obsidian-tasks-plugin/main.js,
name/content mismatch,.obsidian/plugins/periodic-notes/main.js,
name/content mismatch,.obsidian/plugins/quickadd/main.js,
name/content mismatch,.obsidian/plugins/obsidian-importer/main.js,
name/content mismatch,.obsidian/plugins/editing-toolbar/main.js,
name/content mismatch,.obsidian/plugins/make-md/Spaces.mdb,
name/content mismatch,.obsidian/plugins/make-md/main.js,
name/content mismatch,.obsidian/plugins/copilot/main.js,
name/content mismatch,.obsidian/plugins/omnisearch/main.js,
name/content mismatch,.obsidian/plugins/highlightr-plugin/main.js,
name/content mismatch,.obsidian/plugins/obsidian-annotator/main.js,
name/content mismatch,.obsidian/plugins/table-editor-obsidian/main.js,
name/content mismatch,.obsidian/plugins/homepage/main.js,
name/content mismatch,.obsidian/plugins/obsidian-kanban/main.js,
name/content mismatch,.obsidian/plugins/dataview/main.js,
name/content mismatch,.obsidian/plugins/tag-wrangler/main.js,
name/content mismatch,.obsidian/plugins/obsidian-style-settings/main.js,
name/content mismatch,ARCHIVAL_STACK/PR17_THREAD_DIGEST.md,
name/content mismatch,ARCHIVAL_STACK/THREADS_REVIEW_REQUIRED.md,
name/content mismatch,ARCHIVAL_STACK/PR02_THREAD_DIGEST.md,
name/content mismatch,ARCHIVAL_STACK/PR05_THREAD_DIGEST.md,
name/content mismatch,ARCHIVAL_STACK/PR12_THREAD_DIGEST.md,
name/content mismatch,ARCHIVAL_STACK/PR08_THREAD_DIGEST.md,
name/content mismatch,ARCHIVAL_STACK/PR11_THREAD_DIGEST.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;/RE-GE_ORG_BODY_09_ECHO_SHELL.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;/RE-GE_ORG_BODY_20_CONSUMPTION_PROTOCOL.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;/RE-GE_ORG_BODY_19_PROCESS_PRODUCT_CONV.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;/RE-GE_ORG_BODY_15_AUDIENCE_ENGINE.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;/RE-GE_ORG_BODY_03_MYTHIC_SENATE.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;/RE-GE_ORG_BODY_10_DREAM_COUNCIL.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;/AAW_CORE_08 — CANONIZATION ENGINE.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;/RE-GE_ORG_BODY_18_ANALOG_DIGITAL_ENGIN.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;/RE-GE_ORG_BODY_14_PROCESS_MONETIZER.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;/AAW_CORE_10 — GENEALOGY ENGINE.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;/RE-GE_4NTHOLOGY_INIT.v1.0.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;/RE-GE_ORG_BODY_06_CODE_FORGE.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;/RE-GE_ORG_BODY_00_ACADEMIA_WING_PROTOCOL.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;/RE-GE_ORG_BODY_22_PUBLISHING_TEMPLE.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;/AAW_CORE_12 — MYTHICAL CITATION SYSTEM.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;/RE-GE_ORG_BODY_02_MIRROR_CABINET.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;/RE-GE_RECURSIVE_SYSTEM_RENDER_LINKMAP.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;/RE-GE_ORG_BODY_05_RITUAL_COURT.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;/RE-GE_ORG_BODY_01_HEART_OF_CANON.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;/RE-GE_ORG_BODY_12_CHAMBER_OF_COMMERCE.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;/AAW_CORE_11 — FAILURE STUDY CHAMBER.md,
name/content mismatch,__pycache__/walk_compare.cpython-311.pyc,
duplicate,Untitled 1.canvas,same as Untitled.canvas
duplicate,.trash/R3..G3..[0 _  S    ]  [/RE-GE_ORG_BODY_13_BLOCKCHAIN_ECONOMY.md,same as ; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_13_BLOCKCHAIN_ECONOMY.md
duplicate,; RE•GE•OS ; RG•01 ;/RE-GE_ORG_BODY_13_BLOCKCHAIN_ECONOMY.md,same as ; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_13_BLOCKCHAIN_ECONOMY.md
